CustomerID,TotalPurchaseAmount,AvgOrderValue,TotalTransactions,NumberOfOrders,Recency,Tenure,Frequency,AvgDaysBetweenOrders,MonetaryValue
12346.0,77556.46,2281.0723529411766,34,12,325,401,0.029925187032418952,33.416666666666664,77556.46
12347.0,5633.32,22.26608695652174,253,8,1,403,0.019851116625310174,50.375,5633.32
12348.0,2019.4,39.596078431372554,51,5,74,363,0.013774104683195593,72.6,2019.4
12349.0,4428.69,25.3068,175,4,18,571,0.0070052539404553416,142.75,4428.69
12350.0,334.4,19.670588235294115,17,1,309,1,1.0,1.0,334.4
12351.0,300.93,14.33,21,1,374,1,1.0,1.0,300.93
12352.0,2849.84,27.668349514563108,103,10,35,357,0.028011204481792718,35.7,2849.84
12353.0,406.76,16.948333333333334,24,2,203,205,0.00975609756097561,102.5,406.76
12354.0,1079.4,18.610344827586207,58,1,231,1,1.0,1.0,1079.4
12355.0,947.61,27.074571428571428,35,2,213,354,0.005649717514124294,177.0,947.61
12356.0,6373.68,44.57118881118881,143,6,22,402,0.014925373134328358,67.0,6373.68
12357.0,18287.66,61.78263513513514,296,3,32,356,0.008426966292134831,118.66666666666667,18287.66
12358.0,3887.07,50.48142857142857,77,5,1,731,0.006839945280437756,146.2,3887.07
12359.0,8935.94,24.482027397260275,365,10,57,677,0.014771048744460856,67.7,8935.94
12360.0,4252.89,19.59857142857143,217,8,51,604,0.013245033112582781,75.5,4252.89
12361.0,511.25,17.629310344827587,29,4,286,395,0.010126582278481013,98.75,511.25
12362.0,5356.23,20.06078651685393,267,11,2,736,0.014945652173913044,66.9090909090909,5356.23
12363.0,552.0,24.0,23,2,109,133,0.015037593984962405,66.5,552.0
12364.0,1313.1,15.448235294117646,85,4,7,105,0.0380952380952381,26.25,1313.1
12365.0,641.38,29.153636363636362,22,2,290,1,2.0,0.5,641.38
12366.0,500.24,166.74666666666667,3,1,633,1,1.0,1.0,500.24
12367.0,168.9,15.354545454545455,11,1,3,1,1.0,1.0,168.9
12368.0,917.6999999999999,50.98333333333333,18,1,627,1,1.0,1.0,917.6999999999999
12369.0,1791.15,19.25967741935484,93,3,412,229,0.013100436681222707,76.33333333333333,1791.15
12370.0,4320.31,21.387673267326736,202,7,50,618,0.011326860841423949,88.28571428571429,4320.31
12371.0,4067.38,24.35556886227545,167,5,44,601,0.008319467554076539,120.2,4067.38
12372.0,1298.04,24.962307692307693,52,3,71,225,0.013333333333333334,75.0,1298.04
12373.0,1127.65,22.110784313725492,51,3,310,363,0.008264462809917356,121.0,1127.65
12374.0,2989.2200000000003,36.01469879518073,83,4,24,564,0.0070921985815602835,141.0,2989.2200000000003
12375.0,457.5,26.91176470588235,17,2,10,88,0.022727272727272728,44.0,457.5
12376.0,503.15,38.70384615384615,13,2,389,29,0.06896551724137931,14.5,503.15
12377.0,3426.32,22.54157894736842,152,4,314,275,0.014545454545454545,68.75,3426.32
12378.0,5416.32,17.994418604651162,301,2,129,433,0.004618937644341801,216.5,5416.32
12379.0,1620.22,20.002716049382716,81,4,81,453,0.008830022075055188,113.25,1620.22
12380.0,9676.300000000001,34.93249097472925,277,11,21,641,0.0171606864274571,58.27272727272727,9676.300000000001
