CustomerID,TotalPurchaseAmount,AvgOrderValue,TotalTransactions,NumberOfOrders,Recency,Tenure,Frequency,AvgDaysBetweenOrders,MonetaryValue,RecencyAdjusted,CLV
12346.0,77556.46,2281.0723529411766,34,12,325,401,0.0299251870324189,33.416666666666664,77556.46,325,33773.908191855204
12347.0,5633.32,22.26608695652174,253,8,1,403,0.0198511166253101,50.375,5633.32,1,71785.8643478261
12348.0,2019.4,39.59607843137256,51,5,74,363,0.0137741046831955,72.6,2019.4,74,971.1740858505568
12349.0,4428.69,25.3068,175,4,18,571,0.0070052539404553,142.75,4428.69,18,3211.151733333333
12350.0,334.4,19.670588235294115,17,1,309,1,1.0,1.0,334.4,309,0.06365886160289358
12351.0,300.93,14.33,21,1,374,1,1.0,1.0,300.93,374,0.038315508021390374
12352.0,2849.84,27.668349514563108,103,10,35,357,0.0280112044817927,35.7,2849.84,35,2822.1716504854367
12353.0,406.76,16.948333333333334,24,2,203,205,0.0097560975609756,102.5,406.76,203,34.230623973727425
12354.0,1079.4,18.610344827586207,58,1,231,1,1.0,1.0,1079.4,231,0.08056426332288401
12355.0,947.61,27.074571428571428,35,2,213,354,0.0056497175141242,177.0,947.61,213,89.99435010060363
12356.0,6373.68,44.57118881118881,143,6,22,402,0.0149253731343283,67.0,6373.68,22,4886.623064208518
12357.0,18287.66,61.78263513513514,296,3,32,356,0.0084269662921348,118.66666666666669,18287.66,32,2061.9954476351354
12358.0,3887.07,50.48142857142857,77,5,1,731,0.0068399452804377,146.2,3887.07,1,184509.62142857144
12359.0,8935.94,24.482027397260275,365,10,57,677,0.0147710487444608,67.7,8935.94,57,2907.7776399903873
12360.0,4252.89,19.59857142857143,217,8,51,604,0.0132450331125827,75.5,4252.89,51,1856.8685714285716
12361.0,511.25,17.629310344827587,29,4,286,395,0.010126582278481,98.75,511.25,286,97.39269351338316
12362.0,5356.23,20.06078651685393,267,11,2,736,0.014945652173913,66.9090909090909,5356.23,2,81206.0638202247
12363.0,552.0,24.0,23,2,109,133,0.0150375939849624,66.5,552.0,109,58.56880733944954
12364.0,1313.1,15.448235294117646,85,4,7,105,0.0380952380952381,26.25,1313.1,7,926.8941176470588
12365.0,641.38,29.15363636363636,22,2,290,1,2.0,0.5,641.38,290,0.2010595611285266
12366.0,500.24,166.74666666666667,3,1,633,1,1.0,1.0,500.24,633,0.2634228541337546
12367.0,168.9,15.354545454545455,11,1,3,1,1.0,1.0,168.9,3,5.118181818181818
12368.0,917.7,50.98333333333333,18,1,627,1,1.0,1.0,917.7,627,0.08131313131313131
12369.0,1791.15,19.25967741935484,93,3,412,229,0.0131004366812227,76.33333333333333,1791.15,412,32.115044628875665
